CustomerID,FirstName,LastName,Email,Phone,JoinDate,CollegeStudent
1,Megan,Gonzalez,gmoss@long.com,7302015715,2025-01-11,No
2,Danielle,Kramer,ginafitzgerald@gmail.com,588.660.8794x0267,2023-06-10,Yes
3,Stephanie,Bradley,todd02@gmail.com,001-119-705-0877x692,2023-05-26,Yes
4,Richard,Macias,iwilliams@hotmail.com,001-895-109-3603x518,2023-03-19,No
5,John,Bass,oliverhoward@gmail.com,(475)690-9304x9386,2023-07-22,No
6,Brittany,Hammond,gcontreras@jimenez-ruiz.com,102-749-5371,2024-03-10,Yes
7,Daniel,Fuentes,gguerrero@brown-mason.com,345-600-9354x16656,2023-11-28,No
8,Kim,Frye,moorescott@yahoo.com,(003)782-2767x45654,2024-06-30,No
9,Jesse,Chen,barnettcharles@patrick-smith.com,458.066.1343x74509,2023-07-01,No
10,Joshua,Campbell,teresagarza@hotmail.com,795.020.0775,2025-05-15,No
11,Debra,Pratt,carrollchristopher@quinn-brown.com,001-662-540-0725x54620,2025-01-22,No
12,Meghan,Massey,acampbell@hotmail.com,+1-667-541-3611x430,2023-07-09,Yes
13,Mark,Williams,isabella03@gmail.com,489-462-6761x19449,2024-01-19,No
14,David,Reyes,ronaldbrown@nelson-mcgee.com,212-042-6515x16440,2025-06-07,No
15,Tammy,Owens,morganjulie@gmail.com,001-631-405-1705,2024-05-15,Yes
16,Courtney,Holmes,ariana12@yahoo.com,(941)271-6952,2023-03-18,Yes
17,Derrick,Lopez,scarter@hotmail.com,8273415019,2024-06-08,Yes
18,Alicia,Gonzalez,clarsen@gmail.com,+1-803-076-3350x9332,2023-04-21,No
19,Amanda,Carter,brandi58@gmail.com,944-253-0688x25600,2024-11-05,No
20,Joseph,Massey,juliajohnson@yahoo.com,(268)182-5793,2025-04-16,Yes
21,Carmen,Martinez,davidsharp@osborne.com,+1-641-437-5863x902,2023-04-15,Yes
22,Abigail,Heath,odavis@hotmail.com,001-033-674-9671x34266,2023-07-16,No
23,Justin,Young,dean55@lynch.com,175-257-9790x10503,2024-05-02,Yes
24,Sarah,Carlson,leeann@parker.org,+1-794-650-2441x40525,2023-02-01,Yes
25,Victor,Alexander,christopherboone@russell-smith.com,112.003.6725,2023-06-22,Yes
26,Teresa,Moore,ronald67@bates.com,545-152-9905,2025-06-18,No
27,Jennifer,Fisher,lopezelaine@gmail.com,(481)970-4600,2023-09-14,No
28,Carmen,Cameron,michael83@yahoo.com,826.122.9275,2023-03-24,No
29,David,Jenkins,matthew14@christensen-perkins.com,(548)023-5042,2023-08-20,No
30,Gregory,Henderson,melendezrobert@smith-nguyen.org,342.357.8286,2024-12-30,Yes
31,James,Wells,ericksontamara@yahoo.com,001-647-790-6061,2023-09-23,No
32,Adam,Martinez,kimberly78@taylor-velasquez.com,6386939333,2025-01-19,Yes
33,Robert,Snyder,jennifer29@gmail.com,+1-967-871-2833,2025-03-20,Yes
34,Tara,Barron,jeffrey51@hotmail.com,001-853-693-7257x9072,2024-06-06,No
35,Craig,Goodman,sholmes@wheeler.com,+1-642-437-6496x21117,2024-01-15,Yes
36,Jillian,Smith,nhicks@daniels.biz,+1-786-845-2783x489,2023-02-17,Yes
37,Herbert,Kelly,dixonkari@yahoo.com,+1-364-547-6774x14474,2023-10-19,Yes
38,Sherri,Randolph,sanchezjennifer@cooley.org,(276)700-8634x6451,2023-11-22,No
39,Alisha,Thomas,ndavidson@powell.org,190.996.1610x926,2024-04-04,No
40,Bryan,Moreno,evanswilliam@koch.com,623.469.5262,2024-11-15,Yes
41,Alice,Rivera,caitlin05@hotmail.com,+1-346-846-7829x896,2025-06-25,Yes
42,Robert,Kelly,traceyanderson@gmail.com,001-937-093-8713x0218,2023-01-21,Yes
43,Chad,Klein,madisonhansen@yahoo.com,319-887-8700,2024-12-14,No
44,Matthew,Baker,carlastephens@flynn.net,001-881-090-9921x88134,2025-03-02,No
45,Sarah,Roberts,dariuspittman@hotmail.com,(691)999-8844x127,2023-06-19,No
46,Chelsea,Morgan,csmith@gmail.com,4082357299,2023-11-29,Yes
47,Eric,Johnson,foxashley@hotmail.com,013-496-4853x2586,2024-10-30,Yes
48,Nicholas,Brown,johnsonashley@smith.org,712.410.6602,2023-07-10,No
49,Christopher,Barron,chale@murphy.com,851.259.7664x4991,2025-05-05,No
50,Amanda,Johns,donaldhammond@gmail.com,969.912.4864x32224,2025-03-16,Yes
51,Stephanie,Mccoy,morenoedward@foster-sanchez.com,2946391671,2025-01-29,Yes
52,Krystal,Baxter,patricia13@yahoo.com,6681939532,2025-04-27,No
53,Scott,Swanson,gonzalezbeverly@yahoo.com,9342440032,2024-08-21,Yes
54,James,Nguyen,terrencegillespie@mayo.com,900-292-9610x2357,2024-07-20,No
55,Christine,Tran,martinezpaige@burnett.com,102-509-5777x7446,2023-06-30,Yes
56,Thomas,Bishop,hwatts@hotmail.com,268-371-2078x528,2024-03-01,Yes
57,Joshua,Cochran,mike27@gmail.com,301-548-4322,2023-03-07,No
58,Sean,Williams,qwilcox@reed.biz,+1-556-259-9357x0626,2023-06-23,No
59,Benjamin,Huerta,leslieperez@hotmail.com,032-254-9276,2024-07-31,Yes
60,Amber,Williamson,jacquelinebeltran@hotmail.com,998-361-1075,2024-03-16,No
61,Andrew,Brown,ashleybutler@hotmail.com,+1-516-303-5432x20752,2024-06-27,Yes
62,Alicia,Reynolds,gbell@vasquez.com,082-242-7612x33036,2025-03-28,Yes
63,Jane,Henson,noah47@williams-salazar.com,001-107-573-8858x9093,2024-01-25,No
64,Aaron,Wolfe,vobrien@yahoo.com,223.648.5186,2023-07-09,No
65,Regina,Williams,danielle42@moore.com,822-878-0147x68661,2025-06-03,No
66,Melissa,Villanueva,heather17@hotmail.com,+1-383-976-4661x80039,2024-02-08,Yes
67,Julia,Kelley,yjones@yahoo.com,001-370-085-5559x5030,2023-04-09,No
68,Mary,Nelson,jennyherrera@strickland-schroeder.com,(310)875-1507,2023-07-11,Yes
69,Jon,Hughes,caitlinmckinney@gmail.com,898-506-5906,2023-06-20,Yes
70,Brandon,Sparks,ellisondonna@hotmail.com,1954465403,2024-06-29,No
71,Jason,Thompson,jason91@yahoo.com,001-979-524-5853x9815,2024-11-05,No
72,Katherine,Stephens,tstein@yahoo.com,4085062953,2024-09-14,No
73,Jessica,Edwards,jmcintosh@phillips-castro.org,7764021494,2025-02-27,Yes
74,Amanda,Soto,daniel04@hotmail.com,865-096-3422x120,2024-07-19,Yes
75,David,Baker,alopez@walker-ortega.com,(835)065-9247x4395,2023-08-16,No
76,Jeffrey,Miles,odavila@vaughn.com,+1-663-313-6363x86340,2023-03-12,No
77,Joyce,Hernandez,andrewdavis@yahoo.com,001-487-223-7158x465,2023-10-26,No
78,Stacy,Hartman,starkcheryl@gmail.com,(427)470-1750x74644,2024-02-19,Yes
79,Robert,Thornton,ngeorge@austin.com,+1-269-676-7223,2023-08-21,No
80,Melanie,Berry,georgeanderson@white.info,(272)176-3603x36096,2024-05-30,No
81,Omar,Morgan,james00@yahoo.com,001-121-175-5104x6181,2024-03-29,Yes
82,Daniel,Jones,hburke@watson-jones.com,+1-758-376-1890x710,2024-01-20,Yes
83,Rhonda,Anderson,ogarrett@hotmail.com,(894)359-8528,2024-11-20,No
84,Thomas,York,pvaughn@gmail.com,+1-381-798-6613,2023-06-30,Yes
85,Beth,Sullivan,russellhector@novak.com,258-445-5489,2023-06-06,Yes
86,Lisa,Baker,ohowe@russo.info,001-878-246-8887x9847,2023-11-14,No
87,James,Rodriguez,debbiemoore@stanley-reyes.com,455.165.8421,2025-01-06,Yes
88,Patrick,Nguyen,whitesandra@gmail.com,257.329.2634x49132,2025-06-01,Yes
89,Sarah,Torres,katelynlang@gmail.com,5959909329,2025-04-01,No
90,Joseph,Davila,heidijohnson@wilson.com,1815525557,2023-06-12,No
91,Douglas,Pierce,brownamber@mcdonald-jones.org,159-840-9538x04774,2024-01-15,Yes
